Trial       WBL      RMSE Peak_RMSE   Agg_Obj      Umax      Lmax      CQOF      CKIF       CK1       TOF       TIF        TG      CKBF
  150    59.396   138.971   138.971   232.832    11.758   272.474     0.415   842.043    39.651     0.970     0.495     0.892  2596.844
  151    46.111   123.550   123.550   207.302    10.476   289.836     0.619   623.056    31.007     0.561     0.952     0.000  1136.764
  152    47.848   102.834   102.834   184.350    17.671   295.342     0.716   911.549    13.396     0.352     0.795     0.362  3547.421
  153    41.752   108.386   108.386   187.046    16.555   298.525     0.712   950.041    19.109     0.258     0.747     0.636  1078.626
  154    64.754   146.029   146.029   244.132    18.189   193.502     0.331   465.310    43.278     0.732     0.624     0.132  3638.212
  155    63.389   128.291   128.291   222.520    12.272   140.436     0.268   437.707    13.474     0.270     0.255     0.457  2929.588
  156    55.242   141.642   141.642   233.859    11.690   161.516     0.271   505.877    37.495     0.680     0.703     0.043  1318.030
  157    53.827   133.147   133.147   222.894    12.730   101.115     0.515   485.784    39.434     0.820     0.960     0.887  3347.717
  158    41.224   129.381   129.381   211.794    14.886   151.964     0.770   509.690    46.623     0.520     0.941     0.733  2038.974
  159    54.964   139.274   139.274   230.852    13.878   223.287     0.260   801.705    32.155     0.096     0.096     0.799  1145.367
  160    64.524   150.592   150.592   249.495    18.621   143.386     0.184   534.797    49.532     0.367     0.394     0.854  2282.134
  161    63.161   140.923   140.923   237.188    17.008   110.689     0.264   971.700    26.450     0.715     0.465     0.948  2646.736
  162    63.618   141.226   141.226   237.796    19.482   173.754     0.302   487.613    30.030     0.045     0.534     0.045  3346.495
  163    45.805   129.920   129.920   214.790    11.087   142.741     0.712   269.036    44.489     0.583     0.638     0.258  3036.982
  164    43.144   114.772   114.772   195.286    10.319   229.391     0.692   412.394    23.833     0.587     0.342     0.554  1564.074
  165    58.627   139.935   139.935   233.575    18.291   195.594     0.445   631.881    46.351     0.809     0.298     0.853  3411.443
  166    42.068   128.160   128.160   210.734    17.546   278.207     0.849   757.074    44.410     0.008     0.251     0.348  2902.260
  167    61.185   127.568   127.568   220.414    16.375   187.286     0.387   736.128    21.111     0.041     0.079     0.498  3667.925
  168    49.136   132.055   132.055   219.102    12.527   275.350     0.498   703.424    40.516     0.322     0.363     0.274  1181.099
  169    47.111   100.047   100.047   180.797    13.322   116.952     0.457   708.248     9.863     0.847     0.840     0.596  1200.389
  170    34.812   121.152   121.152   198.512    14.071   106.082     0.934   813.268    24.072     0.337     0.880     0.286  2675.813
  171    46.832   124.321   124.321   208.608    18.216   290.419     0.717   652.962    34.107     0.323     0.431     0.440  2816.881
  173    40.597   123.712   123.712   204.582    15.584   163.414     0.798   553.346    33.938     0.348     0.452     0.664  2814.312
  174    44.196   119.522   119.522   201.475    11.433   191.659     0.682   779.468    25.209     0.951     0.344     0.416  1521.837
  175    35.632   118.859   118.859   196.141    14.363   197.431     0.925   834.859    23.934     0.529     0.459     0.338  1152.866
  176    56.769   117.646   117.646   206.440    18.920   267.849     0.313   636.631    11.865     0.293     0.020     0.187  1622.022
  178    40.447   117.631   117.631   197.199    15.061   242.922     0.875   698.871    24.383     0.540     0.465     0.354  2445.614
  179    49.894   103.766   103.766   186.649    15.568   185.254     0.485   910.689    11.898     0.805     0.706     0.375  1574.093
  180    44.877   112.678   112.678   193.813    16.928   183.019     0.567   589.274    19.994     0.853     0.473     0.501  1181.340
  181    41.616   111.771   111.771   190.912    18.080   231.557     0.834   805.341    17.980     0.869     0.377     0.334  1830.977
  182    52.101   115.740   115.740   201.516    18.387   244.992     0.701   733.772    20.261     0.889     0.800     0.152  3175.518
  183    38.515   106.744   106.744   183.293    10.064   102.320     0.765   838.344    11.197     0.474     0.629     0.220  1633.617
  184    50.715   109.575   109.575   193.665    18.353   199.957     0.448   802.724    14.555     0.616     0.351     0.278  1478.074
  185    43.392   118.762   118.762   200.135    18.966   224.629     0.725   837.601    27.785     0.463     0.196     0.157  1625.871
  186    36.415   107.917   107.917   183.487    11.972   114.746     0.789   662.159    15.911     0.036     0.238     0.716  1147.410
  187    36.244   116.202   116.202   193.252    19.634   118.487     0.831   460.869    23.737     0.150     0.240     0.324  1316.605
  188    52.860   106.600   106.600   191.632    19.973   211.220     0.436   688.605    10.267     0.885     0.112     0.042  1606.592
  189    39.529   103.891   103.891   180.572    19.835   156.999     0.712   766.083     9.901     0.066     0.368     0.372  1166.885
  191    42.554   111.904   111.904   191.595    16.774   205.580     0.734   756.277    21.645     0.428     0.321     0.313  1832.766
  192    50.656   118.635   118.635   204.030    17.179   238.137     0.571   448.517    19.985     0.972     0.072     0.002  1279.145
  193    38.998   118.503   118.503   197.469    16.201   199.721     0.915   639.055    21.587     0.923     0.363     0.318  1691.062
  194    47.542   116.219   116.219   199.448    16.085   283.869     0.518   843.311    20.840     0.647     0.531     0.122  1038.384
  195    44.258    98.660    98.660   177.488    19.854   215.894     0.622   509.766    11.623     0.085     0.802     0.648  1469.312
  196    48.337   131.812   131.812   218.392    17.369   213.731     0.615   406.735    45.527     0.281     0.932     0.494  2143.569
  197    53.526   124.467   124.467   212.457    17.125   141.314     0.331   586.037    18.030     0.423     0.746     0.421  1467.823
  198    31.888   125.842   125.842   202.845    19.634   158.931     0.972   433.477    21.011     0.028     0.679     0.954  1913.860
  199    37.084   114.550   114.550   191.717    14.823   206.749     0.789   317.267     9.238     0.350     0.558     0.656  1015.525
  200    36.015   114.992   114.992   191.678    17.841   144.182     0.869   366.286    19.051     0.302     0.506     0.617  2173.105
  201    41.769   108.311   108.311   186.969    17.156   236.169     0.768   438.116    11.020     0.036     0.809     0.641  2851.381
  203    51.451   106.535   106.535   190.693    17.647   233.586     0.544   398.206    15.275     0.371     0.691     0.340  2628.195
  205    47.130   123.481   123.481   207.770    16.622   216.278     0.649   473.577    31.351     0.492     0.779     0.342  2213.399
  206    40.747   117.809   117.809   197.572    18.335   158.073     0.762   536.365    25.541     0.645     0.681     0.885  2269.741
  207    34.744   120.942   120.942   198.221    19.973   222.305     0.992   375.924    24.939     0.187     0.755     0.248  1233.128
  208    42.991   116.218   116.218   196.904    14.587   255.330     0.744   366.698    24.805     0.260     0.659     0.701  2415.562
  209    43.583    98.123    98.123   176.474    17.477   147.366     0.556   442.103    11.847     0.542     0.774     0.550  1102.026
  211    45.884   107.953   107.953   188.949    16.510   245.953     0.623   637.948    18.190     0.536     0.593     0.378  1556.841
  213    46.228   113.956   113.956   196.068    18.449   232.620     0.617   392.241    21.516     0.669     0.746     0.759  1842.759
  214    38.516   106.731   106.731   183.278    16.484   152.155     0.731   370.071    16.849     0.703     0.161     0.732  1092.234
  216    43.059   111.877   111.877   191.849    17.596   189.105     0.707   487.957    21.023     0.518     0.638     0.757  2171.126
  218    38.309   111.317   111.317   188.541    16.608   177.137     0.831   376.673    16.247     0.413     0.699     0.638  2497.136
  219    40.127   103.760   103.760   180.770    10.626   153.493     0.714   479.892    10.992     0.432     0.865     0.695  1448.111
  220    53.602   106.755   106.755   192.264    11.223   141.087     0.507   559.885    14.589     0.268     0.983     0.827  3191.385
  221    48.252   100.925   100.925   182.478    10.854   204.958     0.536   592.874    12.667     0.519     0.631     0.654  1656.908
